AttributeX,AttributeY,AttributeZ,AttributeT,Class,Class,Class,Class
-0.040175,-0.658705,-0.74462,0.99505,1,2,3,4
-0.04069,-0.657715,-0.74695,0.99621,1,2,3,4
-0.04262,-0.65882,-0.743925,0.99469,1,2,3,4
-0.043265,-0.659555,-0.744155,0.995345,1,2,3,4
-0.04625,-0.65868,-0.744905,0.995505,1,2,3,4
-0.045795,-0.66109,-0.7423,0.99511,1,2,3,4
-0.04449,-0.662915,-0.741475,0.99573,1,2,3,4
-0.04319,-0.663725,-0.741145,0.99593,1,2,3,4
-0.04252,-0.662525,-0.74167,0.99546,1,2,3,4
-0.04206,-0.661855,-0.742285,0.99544,1,2,3,4
-0.04374,-0.66003,-0.743655,0.995335,1,2,3,4
-0.037545,-0.617315,-0.781675,0.99753,1,2,3,4
-0.033065,-0.58127,-0.81146,0.99885,1,2,3,4
-0.02614,-0.583955,-0.81011,0.999125,1,2,3,4
-0.028505,-0.585345,-0.8105,1.00031,1,2,3,4
-0.0266,-0.586,-0.80806,0.99867,1,2,3,4
-0.028685,-0.58752,-0.809065,1.00052,1,2,3,4
-0.0233,-0.58718,-0.80778,0.999085,1,2,3,4
-0.0338,-0.601475,-0.79749,1.00029,1,2,3,4
-0.03908,-0.672585,-0.73201,0.995695,1,2,3,4
-0.040405,-0.675705,-0.728355,0.99468,1,2,3,4
-0.04393,-0.673455,-0.73158,0.99547,1,2,3,4
-0.040765,-0.674275,-0.730335,0.994905,1,2,3,4
-0.040825,-0.673545,-0.73161,0.99571,1,2,3,4
-0.04433,-0.67193,-0.733375,0.99622,1,2,3,4
-0.03721,-0.67059,-0.73411,0.99544,1,2,3,4
-0.04636,-0.66808,-0.737015,0.99603,1,2,3,4
-0.03535,-0.671135,-0.733725,0.995115,1,2,3,4
-0.048625,-0.672365,-0.732,0.99541,1,2,3,4
-0.046155,-0.669455,-0.734455,0.99508,1,2,3,4
-0.046055,-0.66989,-0.734275,0.99513,1,2,3,4
-0.04392,-0.66859,-0.73596,0.995385,1,2,3,4
-0.048025,-0.666105,-0.741145,0.997775,1,2,3,4
-0.055735,-0.666655,-0.73881,0.99698,1,2,3,4
-0.040075,-0.643945,-0.758085,0.996005,1,2,3,4
-0.03499,-0.602845,-0.793685,0.99747,1,2,3,4
-0.03394,-0.640435,-0.762045,0.996455,1,2,3,4
-0.040345,-0.658925,-0.74306,0.994125,1,2,3,4
-0.045865,-0.66685,-0.739395,0.99696,1,2,3,4
-0.04687,-0.68385,-0.721595,0.99594,1,2,3,4
-0.04946,-0.69772,-0.70454,0.993315,1,2,3,4
-0.042095,-0.72988,-0.67339,0.995455,1,2,3,4
-0.060785,-0.72862,-0.683915,1.001975,1,2,3,4
-0.055715,-0.726285,-0.68103,0.997355,1,2,3,4
-0.049545,-0.725025,-0.68648,0.999815,1,2,3,4
-0.04606,-0.722765,-0.68629,0.99782,1,2,3,4
-0.04423,-0.72553,-0.683765,0.99799,1,2,3,4
-0.04391,-0.7249,-0.68464,0.998145,1,2,3,4
-0.04625,-0.71748,-0.69228,0.99827,1,2,3,4
-0.04564,-0.729885,-0.681095,0.999405,1,2,3,4
-0.046595,-0.717655,-0.69166,0.99797,1,2,3,4
-0.042375,-0.69439,-0.712895,0.996225,1,2,3,4
-0.03935,-0.67743,-0.72922,0.99633,1,2,3,4
-0.04039,-0.68694,-0.71971,0.996545,1,2,3,4
-0.033345,-0.66864,-0.7358,0.995035,1,2,3,4
-0.03131,-0.666465,-0.738805,0.995575,1,2,3,4
-0.03457,-0.664325,-0.740015,0.99511,1,2,3,4
-0.032865,-0.666435,-0.738565,0.99539,1,2,3,4
-0.032165,-0.667295,-0.73793,0.995495,1,2,3,4
-0.03219,-0.66565,-0.73971,0.995695,1,2,3,4
-0.03345,-0.667355,-0.7385,0.995995,1,2,3,4
-0.034185,-0.66897,-0.73541,0.99481,1,2,3,4
-0.03403,-0.667065,-0.738695,0.99591,1,2,3,4
-0.03502,-0.66628,-0.738035,0.99498,1,2,3,4
-0.034555,-0.666915,-0.73616,0.99401,1,2,3,4
-0.0348,-0.647035,-0.75546,0.99576,1,2,3,4
-0.02913,-0.591385,-0.805405,0.999765,1,2,3,4
-0.03318,-0.59166,-0.8046,0.999365,1,2,3,4
-0.029735,-0.592905,-0.804085,0.999545,1,2,3,4
-0.02946,-0.59296,-0.80341,0.99909,1,2,3,4
-0.021905,-0.58811,-0.809265,1.000835,1,2,3,4
-0.010095,-0.58801,-0.80625,0.998035,1,2,3,4
-0.013415,-0.59003,-0.801095,0.995265,1,2,3,4
-0.03357,-0.600605,-0.80095,1.002545,1,2,3,4
-0.067005,-0.62353,-0.78114,1.00329,1,2,3,4
-0.070915,-0.668015,-0.736745,0.99785,1,2,3,4
-0.056505,-0.667525,-0.73587,0.99567,1,2,3,4
-0.062585,-0.668475,-0.739875,0.999215,1,2,3,4
-0.05471,-0.66249,-0.73964,0.99467,1,2,3,4
-0.060375,-0.662785,-0.72828,0.98685,1,2,3,4
-0.058595,-0.670995,-0.736365,0.998075,1,2,3,4
-0.05835,-0.666465,-0.743695,1.00063,1,2,3,4
-0.06531,-0.66381,-0.73512,0.992955,1,2,3,4
-0.053195,-0.66665,-0.73696,0.99543,1,2,3,4
-0.05498,-0.672145,-0.73385,0.99724,1,2,3,4
-0.05566,-0.667325,-0.734745,0.994345,1,2,3,4
-0.04852,-0.679055,-0.728365,0.997395,1,2,3,4
-0.04668,-0.68082,-0.72909,0.999255,1,2,3,4
-0.046885,-0.70533,-0.70834,1.00129,1,2,3,4
-0.04315,-0.714645,-0.693655,0.99741,1,2,3,4
-0.04351,-0.716755,-0.69722,1.000995,1,2,3,4
-0.0442,-0.71224,-0.69662,0.997355,1,2,3,4
-0.04093,-0.711845,-0.69997,0.99923,1,2,3,4
-0.043055,-0.710555,-0.700285,0.99874,1,2,3,4
-0.04133,-0.710595,-0.700235,0.9986,1,2,3,4
-0.04033,-0.712175,-0.69876,0.99863,1,2,3,4
